Year	ValueClose
1900	68.13
1901	70.44
1902	64.32
1903	64.60
1903	49.11
1904	70.05
1906	95.00
1907	94.25
1908	59.61
1908	86.15
1909	99.05
1910	81.41
1912	82.36
1913	88.42
1914	78.59
1914	54.58
1915	99.15
1917	96.15
1918	76.68
1919	82.60
1920	108.76
1920	71.95
1921	80.80
1923	98.77
1924	95.65
1925	121.25
1925	156.66
1926	157.20
1927	200.70
1929	307.01
1930	244.20
1931	169.84
1931	77.90
1932	49.10
1932	41.22
1932	60.26
1934	100.36
1935	104.51
1936	144.13
1936	179.90
1937	120.85
1938	154.36
1940	151.43
1941	130.57
1942	112.77
1942	119.40
1943	135.89
1945	152.58
1946	191.66
1947	176.39
1948	181.04
1948	177.30
1949	200.52
1951	239.92
1952	269.86
1953	292.14
1953	280.90
1954	404.39
1955	488.40
1957	496.03
1958	439.27
1959	587.59
1959	679.36
1960	615.89
1962	724.71
1963	646.79
1964	766.08
1964	874.13
1965	969.26
1966	785.69
1968	906.84
1969	947.73
1970	809.20
1970	838.92
1971	890.20
1972	1,003.16
1973	1031.68
1974	855.32
1975	632.04
1975	852.41
1976	858.71
1976	1004.65
1977	831.17
1978	805.01
1979	811.42
1979	838.74
1980	824.57
1980	963.99
1981	972.78
1981	875.00
1982	1046.54
1983	1258.64
1984	1211.57
1985	1198.87
1985	1546.67
1986	1537.73
1986	1895.95
1987	1927.31
1987	2,002.25
1987	1,738.74
1987	1938.83
1988	2168.57
1989	2753.20
1990	2810.15
1990	2633.66
1991	2610.64
1991	3,004.46
1991	3168.83
1992	3172.41
1992	3301.11
1993	3754.09
1994	3834.44
1995	4,003.33
1995	5,023.55
1995	5117.12
1996	5177.45
1996	6,010.00
1996	6448.27
1997	6442.49
1997	7,022.44
1997	8,038.88
1997	7908.25
1998	7965.04
1998	9,033.23
1998	9181.43
1999	10,006.78
1999	11,014.69
1999	11497.12
2000	11,722.98
2000	10787.99
2001	10646.15
2001	10021.57
2002	10073.40
2002	8341.63
2003	8607.52
2003	7,673.99
2003	10453.92
2004	10409.85
2004	10783.01
2005	10507.97
2005	10,717.50
2006	10,959.31
2006	11,043.44
2006	10,959.87
2006	10,667.39
2006	10,907.21
2006	10,793.62
2006	10,919.05
2006	11,115.32
2006	11,061.85
2006	11,021.59
2006	11,076.34
2006	11,279.65
2006	11,279.97
2006	11,109.32
2006	11,120.04
2006	11,137.65
2006	11,347.45
2006	11,367.14
2006	11,577.74
2006	11,380.99
2006	11,144.06
2006	11,278.61
2006	11,247.87
2006	10,891.92
2006	11,014.55
2006	10,989.09
2006	11,150.22
2006	11,090.67
2006	10,739.35
2006	10,868.38
2006	11,219.70
2006	11,240.35
2006	11,088.03
2006	11,381.47
2006	11,284.05
2006	11,464.15
2006	11,392.11
2006	11,560.77
2006	11,508.10
2006	11,679.07
2006	11,850.21
2006	11,960.51
2006	12,011.73
2006	12,002.37
2006	12,090.26
2006	11,986.04
2006	12,108.43
2006	12,342.56
2006	12,280.17
2006	12,194.13
2006	12,307.49
2006	12,445.52
2006	12,343.22
2006	12,463.15
2007	12,398.01
2007	12,556.08
2007	12,565.53
2007	12,487.02
2007	12,653.49
2007	12,580.83
2007	12,767.57
2007	12,647.48
2007	12,114.10
2007	12,276.32
2007	12,110.41
2007	12,481.01
2007	12,354.35
2007	12,560.20
2007	12,612.13
2007	12,961.98
2007	13,120.94
2007	13,264.62
2007	13,326.22
2007	13,556.53
2007	13,507.28
2007	13,668.11
2007	13,424.39
2007	13,639.48
2007	13,360.26
2007	13,408.62
2007	13,611.68
2007	13,907.25
2007	13,851.08
2007	13,265.47
2007	13,181.91
2007	13,239.54
2007	13,079.08
2007	13,378.87
2007	13,357.74
2007	13,113.38
2007	13,442.52
2007	13,820.19
2007	13,895.63
2007	14,066.01
2007	14,164.53
2007	14,093.08
2007	13,522.02
2007	13,806.70
2007	13,595.10
2007	13,042.74
2007	13,176.79
2007	12,980.88
2007	13,371.72
2007	13,625.58
2007	13,339.85
2007	13,450.65
2007	13,365.87
2007	13,264.82
2008	12,800.18
2008	12,606.30
2008	12,099.30
2008	12,207.17
2008	12,743.19
2008	12,182.13
2008	12,348.21
2008	12,381.02
2008	12,266.39
2008	11,893.69
2008	11,951.09
2008	12,361.32
2008	12,216.40
2008	12,609.42
2008	12,325.42
2008	12,849.36
2008	12,891.86
2008	13,058.20
2008	12,745.88
2008	12,986.80
2008	12,479.63
2008	12,638.32
2008	12,209.81
2008	12,307.35
2008	11,842.69
2008	11,346.51
2008	11,288.54
2008	11,100.54
2008	11,496.57
2008	11,370.69
